iter	Passed	Remaining
0	1	152
1	3	190
2	5	182
3	6	157
4	7	146
5	8	139
6	10	134
7	11	129
8	12	125
9	13	121
10	15	124
11	16	121
12	18	122
13	19	119
14	20	117
15	22	119
16	23	116
17	25	114
18	26	112
19	27	110
20	28	108
21	30	109
22	34	114
23	35	113
24	36	110
25	38	108
26	39	106
27	40	104
28	41	101
29	42	99
30	45	100
31	46	98
32	47	96
33	48	94
34	49	92
35	50	90
36	51	88
37	53	86
38	54	84
39	55	83
40	58	84
41	59	82
42	60	80
43	62	79
44	63	77
45	64	75
46	66	74
47	67	73
48	68	71
49	70	70
50	71	68
51	72	67
52	74	65
53	75	64
54	76	62
55	77	60
56	78	59
57	79	57
58	80	56
59	81	54
60	83	53
61	84	51
62	86	50
63	87	49
64	88	47
65	89	46
66	91	44
67	92	43
68	93	42
69	94	40
70	95	39
71	98	38
72	99	36
73	100	35
74	101	33
75	103	32
76	104	31
77	105	29
78	106	28
79	107	26
80	109	25
81	110	24
82	111	22
83	113	21
84	114	20
85	115	18
86	116	17
87	118	16
88	119	14
89	120	13
90	121	12
91	122	10
92	125	9
93	127	8
94	128	6
95	129	5
96	131	4
97	132	2
98	133	1
99	134	0
