iter	Passed	Remaining
0	137	137236
1	138	69192
2	139	46490
3	141	35116
4	142	28297
5	143	23757
6	144	20505
7	145	18067
8	148	16360
9	149	14833
10	151	13580
11	152	12550
12	153	11679
13	154	10913
14	156	10255
15	157	9679
16	158	9168
17	162	8852
18	163	8446
19	164	8081
20	166	7742
21	167	7437
22	168	7165
23	169	6906
24	171	6673
25	172	6456
26	173	6263
27	175	6088
28	176	5916
29	178	5756
30	179	5599
31	180	5452
32	181	5314
33	182	5184
34	183	5059
35	184	4947
36	185	4836
37	188	4775
38	189	4679
39	191	4586
40	192	4498
41	193	4413
42	194	4331
43	195	4254
44	196	4179
45	198	4111
46	199	4050
47	201	3993
48	202	3931
49	203	3870
50	204	3811
51	205	3755
52	207	3701
53	208	3650
54	209	3600
55	210	3552
56	211	3505
57	213	3462
58	214	3427
59	216	3384
60	217	3342
61	218	3303
62	219	3263
63	220	3226
64	221	3189
65	222	3155
66	224	3122
67	225	3089
68	226	3059
69	228	3032
70	229	3002
71	230	2971
72	231	2942
73	232	2915
74	234	2887
75	235	2862
76	236	2836
77	237	2810
78	238	2784
79	240	2762
80	241	2741
81	242	2717
82	243	2689
83	244	2667
84	245	2645
85	247	2625
86	248	2605
87	249	2584
88	250	2565
89	251	2546
90	253	2533
91	255	2518
92	256	2501
93	258	2495
94	260	2478
95	261	2461
96	262	2444
97	264	2435
98	266	2422
99	268	2416
100	270	2405
101	271	2389
102	272	2373
103	273	2358
104	274	2342
105	275	2327
106	277	2316
107	278	2302
108	280	2291
109	282	2282
110	283	2269
111	284	2255
112	285	2242
113	286	2229
114	288	2216
115	289	2204
116	290	2190
117	291	2179
118	292	2167
119	294	2158
120	295	2147
121	296	2135
122	298	2125
123	299	2114
124	300	2102
125	301	2091
126	302	2080
127	303	2069
128	305	2059
129	306	2049
130	307	2041
131	309	2032
132	310	2022
133	311	2013
134	312	2004
135	314	1997
136	315	1989
137	316	1979
138	318	1970
139	319	1961
140	321	1955
141	322	1945
142	323	1937
143	324	1928
144	325	1920
145	328	1923
146	330	1915
147	331	1907
148	332	1899
149	334	1897
150	336	1893
151	338	1887
152	339	1879
153	340	1871
154	342	1864
155	343	1858
156	344	1851
157	349	1861
158	353	1872
159	355	1866
160	356	1859
161	358	1856
162	360	1849
163	365	1861
164	366	1854
165	367	1847
166	368	1840
167	370	1833
168	371	1826
169	372	1819
170	373	1812
171	377	1816
172	379	1813
173	380	1806
174	381	1799
175	383	1794
176	384	1787
177	385	1781
178	386	1774
179	388	1770
180	391	1770
181	392	1764
182	394	1759
183	395	1755
184	397	1749
185	398	1743
186	399	1737
187	403	1740
188	404	1736
189	406	1731
190	408	1728
191	409	1724
192	411	1720
193	412	1715
194	414	1710
195	419	1721
196	424	1728
